"c1"|"c2"
412|1000
782|1000
470|1000
742|0
2397|1000
952|0
872|1000
2761|2000
1332|1000
825|0
1599|1000
286|0
2528|2000
971|1000
3140|2000
702|0
1375|1000
1391|1000
934|4000
390|0
364|3000
1097|1000
2715|3000
1163|0
228|0
540|4000
2028|0
78|3000
1475|1000
2683|1000
1663|0
1853|2000
2318|3000
688|0
2357|0
58|3000
351|1000
169|1000
683|0
1051|3000
1|2000
1717|1000
90|2000
685|3000
1771|1000
1958|2000
1567|2000
1093|1000
540|3000
1355|0
738|1000
416|0
2003|2000
1471|0
638|0
50|1000
397|1000
769|0
1664|2000
1053|0
814|0
2476|1000
260|1000
321|0
785|2000
2619|1000
3320|1000
1653|1000
1129|1000
2901|3000
2017|0
2140|4000
1537|1000
2237|0
154|1000
1602|1000
203|1000
471|1000
1737|1000
1180|0
1269|1000
438|2000
951|1000
388|0
15|4000
2483|0
856|0
785|2000
347|1000
2144|0
692|4000
2742|0
270|3000
2280|1000
850|2000
1228|1000
330|0
1235|4000
2768|2000
562|0
549|0
245|1000
750|1000
1722|4000
1470|2000
597|1000
2500|1000
149|1000
1401|1000
4240|1000
2241|0
1093|2000
1205|0
590|3000
309|3000
705|1000
2662|1000
1267|1000
234|2000
1171|1000
791|1000
534|1000
182|0
487|0
483|0
709|1000
2449|2000
967|0
1574|2000
527|0
1811|0
313|1000
2023|2000
2129|1000
1473|2000
1444|2000
1356|0
1968|2000
345|2000
743|0
2130|1000
307|1000
1178|1000
709|1000
547|2000
393|0
35|0
347|1000
748|1000
1008|0
1041|0
121|1000
71|2000
1606|2000
819|2000
31|0
820|1000
1228|1000
1740|4000
2326|3000
940|1000
582|1000
158|5000
1073|0
502|1000
289|0
1773|2000
1861|0
1006|1000
3208|2000
163|0
948|2000
7|1000
390|3000
1889|4000
880|0
1030|1000
3352|2000
3427|0
1629|0
267|0
1705|2000
1255|2000
1149|0
1853|1000
156|0
1679|1000
3012|0
118|0
899|1000
1347|1000
2995|2000
885|0
1046|0
240|1000
1918|1000
239|1000
451|2000
3162|0
384|3000
1567|3000
851|0
494|1000
429|0
111|1000
1605|0
384|1000
781|1000
1618|1000
1194|3000
380|1000
879|1000
1527|0
941|0
1056|0
1450|1000
980|2000
1012|1000
351|2000
254|0
2150|0
2637|1000
1522|2000
378|1000
359|1000
1102|1000
1437|1000
668|1000
244|0
102|0
1803|2000
347|1000
216|6000
736|2000
155|1000
617|3000
294|1000
1626|0
11|1000
2354|1000
1195|1000
2560|2000
540|1000
337|0
381|1000
538|1000
204|2000
1539|2000
1655|0
158|1000
1775|2000
762|2000
558|1000
993|2000
1711|0
1702|0
694|1000
2453|2000
2682|1000
254|1000
405|0
1349|1000
106|0
2512|0
1342|0
1325|0
971|1000
1984|2000
3568|0
617|0
929|3000
334|3000
2009|1000
940|0
722|0
2984|0
793|2000
467|1000
213|3000
1156|0
221|1000
1864|1000
367|1000
969|2000
2035|0
69|0
66|1000
819|2000
1853|0
925|1000
506|2000
348|1000
735|1000
3050|2000
1778|0
7|1000
1676|2000
320|1000
816|1000
1422|3000
653|0
1600|1000
3580|2000
1413|0
2754|1000
2287|1000
1267|1000
1288|0
1900|1000
201|2000
881|0
3141|0
2425|3000
1650|3000
1676|2000
1300|1000
251|0
1137|1000
1125|4000
365|1000
1481|1000
1928|2000
400|4000
292|4000
2133|2000
2047|1000
1825|2000
1895|1000
393|3000
109|1000
110|4000
1254|0
76|1000
331|5000
787|0
642|1000
2061|1000
3703|1000
798|3000
11|1000
1473|1000
1146|1000
52|1000
701|1000
1422|0
2055|0
1591|1000
1080|1000
621|1000
471|1000
1003|0
260|3000
48|2000
727|1000
1929|2000
1227|1000
1466|0
549|2000
3324|1000
1490|3000
1937|1000
3504|0
1935|2000
276|0
1767|1000
1745|0
748|4000
539|0
56|1000
942|0
803|0
2037|2000
774|3000
1010|2000
1205|1000
1018|0
2088|0
1153|3000
271|2000
356|1000
1832|0
1559|1000
599|1000
451|1000
1531|2000
2030|0
620|0
1586|1000
1170|0
2997|0
632|1000
3021|0
878|2000
1771|0
1130|1000
810|1000
668|0
68|0
1072|2000
1571|1000
1725|0
303|0
1195|0
715|1000
519|2000
600|0
545|0
2591|0
1483|1000
1505|2000
1031|1000
351|0
717|2000
73|2000
1735|1000
376|1000
1376|2000
1786|3000
1816|1000
1050|1000
1218|3000
1168|4000
1566|1000
908|1000
54|2000
301|1000
765|1000
1238|0
1830|0
624|0
794|2000
457|2000
1527|0
274|1000
3703|2000
2014|0
1221|0
631|2000
628|0
375|0
117|0
669|0
1339|1000
719|2000
2127|2000
304|0
560|0
1967|0
2364|0
2652|0
824|1000
1088|1000
898|0
2126|0
2653|1000
626|1000
1004|1000
364|2000
1910|1000
2332|1000
1764|0
2353|1000
2849|0
1303|1000
433|2000
2203|1000
2897|0
112|1000
1717|2000
1239|2000
1204|1000
1229|0
1065|0
2539|2000
1753|1000
1224|1000
102|2000
1520|2000
290|1000
2285|2000
1383|0
1075|0
410|2000
1106|3000
353|0
2425|0
1294|0
1374|3000
1577|0
2078|1000
425|1000
109|2000
2856|1000
1462|1000
793|1000
1729|1000
2387|2000
1182|0
585|0
1005|0
3009|0
1872|0
451|0
616|0
139|2000
3030|1000
531|1000
524|0
450|0
622|1000
1629|0
361|2000
2560|2000
156|1000
1541|1000
541|2000
959|1000
1131|2000
573|0
1250|0
1114|0
2267|1000
694|2000
1257|5000
479|3000
258|0
1592|1000
870|1000
1662|1000
318|2000
2720|1000
1736|0
2109|1000
1256|1000
2308|3000
1828|0
841|0
734|3000
1880|0
1664|0
1466|0
396|0
2361|3000
1510|2000
746|3000
839|1000
1562|1000
1403|1000
85|0
1612|0
927|0
2357|0
1179|1000
1533|2000
269|1000
6|1000
891|3000
1028|2000
685|2000
1628|1000
2741|1000
750|3000
314|0
842|1000
3002|1000
1435|1000
1304|2000
1666|3000
736|5000
547|1000
1500|1000
649|1000
2009|1000
1444|0
2136|0
609|1000
3569|2000
1401|0
825|1000
2160|0
427|0
369|0
1253|3000
1221|0
350|1000
910|0
1040|1000
764|2000
970|1000
1402|0
2975|1000
1642|0
1303|1000
1124|2000
247|0
970|0
573|0
85|0
1328|1000
901|0
801|2000
530|0
3000|1000
383|2000
2424|0
829|1000
1656|3000
448|2000
1130|1000
38|0
1042|0
163|3000
2188|2000
714|0
2335|2000
2319|0
2187|1000
1740|0
1981|0
948|1000
2931|3000
2950|0
1679|1000
1810|0
2933|2000
1358|2000
298|2000
2026|0
200|2000
1559|2000
2231|2000
564|0
775|1000
2653|1000
68|2000
2196|0
1420|1000
425|2000
1031|1000
1167|3000
1197|0
809|1000
1818|1000
1288|3000
2106|0
1230|3000
1614|1000
360|1000
2337|0
659|3000
2664|1000
376|0
2669|0
571|2000
2297|1000
308|1000
251|2000
268|1000
1537|1000
1883|0
2029|3000
1102|0
48|1000
1044|2000
493|1000
2003|2000
94|4000
532|2000
322|0
